chunk_id,speaker_id,is_speaking,frame_id,pos_chunk_id,pos_frame_id,neg_chunk_id,neg_speaker_id,neg_frame_id,video_flag,audio_flag
39,0,1,0,40,11,39,1,7,1,1
39,0,1,1,42,6,39,1,9,1,1
39,0,1,2,41,13,39,1,1,1,1
39,0,1,3,43,11,39,1,3,1,1
39,0,1,4,42,1,39,1,6,1,1
39,0,1,5,43,5,39,1,8,1,1
39,0,1,6,41,5,40,1,4,1,1
39,0,1,7,41,2,40,1,4,1,1
39,0,1,8,41,15,39,1,1,1,1
39,0,1,9,41,14,39,1,11,1,1
39,0,1,10,41,9,39,1,1,1,1
39,0,1,11,42,8,39,1,13,1,1
39,0,1,12,43,17,39,1,13,1,1
39,0,1,13,41,6,39,1,4,1,1
39,0,1,14,43,9,39,1,16,1,1
39,0,1,15,42,6,39,1,16,1,1
39,0,1,16,41,17,40,1,4,1,1
39,0,1,17,41,10,40,1,4,1,1
40,0,1,0,39,9,40,1,5,1,1
40,0,1,1,43,16,40,1,4,1,1
40,0,1,2,43,0,40,1,2,1,1
40,0,1,3,39,14,40,1,2,1,1
40,0,1,4,43,9,40,1,15,1,1
40,0,1,5,41,15,40,1,8,1,1
40,0,1,6,43,8,40,1,4,1,1
40,0,1,7,39,17,40,1,2,1,1
40,0,1,8,41,1,40,1,10,1,1
40,0,1,9,39,5,40,1,1,1,1
40,0,1,10,43,1,40,1,0,1,1
40,0,1,11,41,6,40,1,5,1,1
40,0,1,12,41,1,40,1,11,1,1
40,0,1,13,43,17,40,1,4,1,1
40,0,1,14,41,0,40,1,12,1,1
40,0,1,15,39,10,40,1,4,1,1
40,0,1,16,43,1,40,1,16,1,1
40,0,1,17,42,11,40,1,2,1,1
41,0,1,0,39,8,41,1,11,1,1
41,0,1,1,43,6,40,1,4,1,1
41,0,1,2,39,5,40,1,4,1,1
41,0,1,5,39,8,41,1,3,1,1
41,0,1,6,40,17,41,1,4,1,1
41,0,1,7,39,5,41,1,13,1,1
41,0,1,9,39,8,41,1,7,1,1
41,0,1,10,39,0,41,1,1,1,1
41,0,1,11,40,1,41,1,4,1,1
41,0,1,12,39,14,41,1,14,1,1
41,0,1,13,42,17,41,1,3,1,1
41,0,1,14,42,8,41,1,14,1,1
41,0,1,15,42,7,41,1,17,1,1
41,0,1,16,42,4,41,1,4,1,1
41,0,1,17,42,12,40,1,4,1,1
42,0,1,0,39,4,42,1,11,1,1
42,0,1,1,40,5,42,1,3,1,1
42,0,1,2,41,12,42,1,11,1,1
42,0,1,3,43,10,42,1,0,1,1
42,0,1,4,41,11,42,1,11,1,1
42,0,1,5,40,0,42,1,11,1,1
42,0,1,6,39,10,42,1,11,1,1
42,0,1,7,40,7,42,1,15,1,1
42,0,1,8,41,15,42,1,10,1,1
42,0,1,9,39,17,42,1,4,1,1
42,0,1,10,43,6,42,1,15,1,1
42,0,1,11,40,2,42,1,10,1,1
42,0,1,12,40,17,42,1,4,1,1
42,0,1,13,43,8,42,1,15,1,1
42,0,1,14,43,6,42,1,11,1,1
42,0,1,15,40,13,42,1,13,1,1
42,0,1,16,41,11,42,1,5,1,1
42,0,1,17,41,5,42,1,12,1,1
43,0,1,0,42,0,43,1,15,1,1
43,0,1,1,40,7,40,1,4,1,1
43,0,1,2,40,9,43,1,7,1,1
43,0,1,3,41,9,43,1,3,1,1
43,0,1,4,42,4,43,1,5,1,1
43,0,1,5,41,0,43,1,16,1,1
43,0,1,6,39,2,40,1,4,1,1
43,0,1,7,39,7,43,1,9,1,1
43,0,1,8,40,0,43,1,1,1,1
43,0,1,9,42,7,40,1,4,1,1
43,0,1,10,42,5,43,1,15,1,1
43,0,1,11,41,2,43,1,9,1,1
43,0,1,12,39,15,43,1,14,1,1
43,0,1,13,42,16,43,1,3,1,1
43,0,1,14,40,10,40,1,4,1,1
43,0,1,15,41,1,43,1,9,1,1
43,0,1,16,39,1,43,1,16,1,1
43,0,1,17,42,10,43,1,9,1,1
44,0,1,0,42,16,44,1,0,1,1
44,0,1,1,41,17,44,1,1,1,1
41,0,0,3,44,0,41,1,0,1,0
41,0,0,4,42,0,41,1,15,1,0
41,0,0,8,39,13,41,1,14,1,0
39,1,1,0,43,7,39,0,1,1,1
39,1,1,1,43,13,39,0,13,1,1
39,1,1,2,43,3,39,0,13,1,1
39,1,1,3,42,8,39,0,9,1,1
39,1,1,4,40,15,39,0,17,1,1
39,1,1,5,40,17,39,0,7,1,1
39,1,1,6,41,17,41,0,4,1,1
39,1,1,7,40,3,39,0,8,1,1
39,1,1,8,43,0,39,0,15,1,1
39,1,1,9,42,8,41,0,8,1,1
39,1,1,10,42,3,39,0,11,1,1
39,1,1,11,41,10,39,0,15,1,1
39,1,1,12,42,0,39,0,4,1,1
39,1,1,13,41,7,41,0,4,1,1
39,1,1,14,41,13,39,0,9,1,1
39,1,1,15,41,7,41,0,4,1,1
39,1,1,16,42,17,39,0,13,1,1
39,1,1,17,41,5,39,0,1,1,1
40,1,1,0,43,8,40,0,15,1,1
40,1,1,1,39,8,40,0,13,1,1
40,1,1,2,41,17,40,0,6,1,1
40,1,1,3,43,14,41,0,3,1,1
40,1,1,5,39,1,40,0,3,1,1
40,1,1,6,41,15,40,0,0,1,1
40,1,1,7,42,10,40,0,7,1,1
40,1,1,8,42,14,40,0,14,1,1
40,1,1,9,39,11,40,0,13,1,1
40,1,1,10,43,11,41,0,4,1,1
40,1,1,11,42,2,41,0,4,1,1
40,1,1,12,41,6,40,0,14,1,1
40,1,1,13,39,14,40,0,12,1,1
40,1,1,14,41,7,41,0,3,1,1
40,1,1,15,42,10,40,0,11,1,1
40,1,1,16,42,7,40,0,1,1,1
40,1,1,17,39,11,40,0,13,1,1
41,1,1,0,40,13,41,0,10,1,1
41,1,1,1,44,0,41,0,4,1,1
41,1,1,2,42,1,41,0,5,1,1
41,1,1,3,42,16,41,0,0,1,1
41,1,1,4,39,6,41,0,11,1,1
41,1,1,5,42,10,41,0,1,1,1
41,1,1,6,43,8,41,0,2,1,1
41,1,1,7,43,3,41,0,10,1,1
41,1,1,8,40,7,41,0,7,1,1
41,1,1,9,43,9,41,0,5,1,1
41,1,1,10,42,9,41,0,4,1,1
41,1,1,11,44,0,41,0,8,1,1
41,1,1,12,43,2,41,0,0,1,1
41,1,1,13,43,1,41,0,5,1,1
41,1,1,14,43,15,41,0,12,1,1
41,1,1,15,43,1,41,0,6,1,1
41,1,1,16,43,2,41,0,7,1,1
41,1,1,17,39,9,41,0,7,1,1
42,1,1,0,41,5,41,0,8,1,1
42,1,1,1,39,5,42,0,17,1,1
42,1,1,2,41,12,41,0,8,1,1
42,1,1,3,39,9,41,0,3,1,1
42,1,1,4,43,14,42,0,7,1,1
42,1,1,5,39,14,41,0,8,1,1
42,1,1,6,40,6,42,0,14,1,1
42,1,1,7,41,14,41,0,4,1,1
42,1,1,8,41,2,42,0,7,1,1
42,1,1,9,43,3,42,0,4,1,1
42,1,1,10,43,11,42,0,4,1,1
42,1,1,12,41,3,41,0,3,1,1
42,1,1,13,43,9,42,0,4,1,1
42,1,1,14,41,17,42,0,8,1,1
42,1,1,15,41,16,42,0,11,1,1
42,1,1,16,43,2,41,0,3,1,1
42,1,1,17,40,13,41,0,4,1,1
43,1,1,0,42,16,43,0,16,1,1
43,1,1,1,41,8,43,0,10,1,1
43,1,1,2,41,12,43,0,15,1,1
43,1,1,3,40,15,43,0,9,1,1
43,1,1,4,40,16,43,0,8,1,1
43,1,1,5,40,14,43,0,0,1,1
43,1,1,6,40,8,41,0,8,1,1
43,1,1,7,41,7,43,0,5,1,1
43,1,1,8,39,12,41,0,3,1,1
43,1,1,9,42,2,41,0,3,1,1
43,1,1,10,40,16,41,0,3,1,1
43,1,1,11,42,8,43,0,3,1,1
43,1,1,12,42,5,41,0,4,1,1
43,1,1,13,42,0,43,0,2,1,1
43,1,1,14,44,1,43,0,17,1,1
43,1,1,15,39,0,43,0,7,1,1
43,1,1,16,41,12,43,0,8,1,1
43,1,1,17,40,15,41,0,3,1,1
44,1,1,0,43,13,44,0,0,1,1
44,1,1,1,39,5,44,0,0,1,1
40,1,0,4,43,17,40,0,11,1,0
42,1,0,11,40,17,42,0,2,1,0
